"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"mstfranchise",155,2018-07-06,2021-12-24,1268,0.122239747634069,0.380645161290323,0.774193548387097,0.212903225806452,0.0193548387096774,0.0709677419354839
"mv49909",70,2018-07-06,2024-01-03,2008,0.0348605577689243,0.0285714285714286,1,0,0.0285714285714286,0.0142857142857143
"rahmatkhan",2,2018-07-06,2018-07-07,2,1,0,0,0,1,0
"sangodsila",1,2018-07-06,2018-07-06,1,1,0,1,1,0,0
"sierk",44,2018-07-06,2021-06-11,1072,0.041044776119403,0,0,0,1,0.0227272727272727
"tabatabaee1360",1963,2018-07-06,2024-11-04,2314,0.848314606741573,0.000509424350483953,0.209373408048905,0.890983188996434,0.000509424350483953,0.000509424350483953
"tigranakert",1051,2018-07-06,2024-11-04,2314,0.45419187554019,0.645099904852521,0.401522359657469,0.00190294957183635,0.00285442435775452,0.0123691722169363
"tropssap",4,2018-07-06,2024-06-27,2184,0.00183150183150183,0.75,0,0.25,0,0
"wallthecome",1,2018-07-06,2018-07-06,1,1,0,0,0,0,0
"willychess13",248,2018-07-06,2021-06-18,1079,0.229842446709917,0.0241935483870968,0.810483870967742,0.318548387096774,0.0161290322580645,0.00403225806451613
"ysfcry",73,2018-07-06,2022-03-22,1356,0.053834808259587,0.0821917808219178,0.356164383561644,0.767123287671233,0.0136986301369863,0.178082191780822
"Ar009",3,2018-07-07,2018-09-24,80,0.0375,0,0,1,0,0
"Atteess",41,2018-07-07,2018-08-28,53,0.773584905660377,0.951219512195122,0.24390243902439,0.219512195121951,0.195121951219512,0
"BlunderedBuss",668,2018-07-07,2023-10-07,1919,0.348097967691506,0.609281437125748,0.37125748502994,0.124251497005988,0.100299401197605,0.353293413173653
"Bratha71",1,2018-07-07,2018-07-07,1,1,0,1,1,0,0
"Culitos",688,2018-07-07,2020-05-25,689,0.998548621190131,0.492732558139535,0.236918604651163,0.526162790697674,0.0436046511627907,0.00145348837209302
"Elbie56",425,2018-07-07,2023-11-23,1966,0.21617497456765,0.00235294117647059,0.00941176470588235,0.00470588235294118,0.00235294117647059,0.927058823529412
"Feto500",43,2018-07-07,2018-12-01,148,0.290540540540541,1,0.0465116279069767,0,0,0
"Garmadonari",21,2018-07-07,2023-02-13,1683,0.0124777183600713,0.80952380952381,0.285714285714286,0,0,0
"Ggano1",1,2018-07-07,2018-07-07,1,1,1,0,0,0,0
"Goyobod",71,2018-07-07,2020-05-24,688,0.103197674418605,0.0140845070422535,0.169014084507042,0.859154929577465,0,0
"GryfusiLewusiKubusi",3,2018-07-07,2018-09-23,79,0.0379746835443038,0,0,0,1,0
"GuilPQDT",205,2018-07-07,2022-10-17,1564,0.131074168797954,0.117073170731707,0.88780487804878,0.468292682926829,0,0
"IsraelGalo",2,2018-07-07,2018-07-08,2,1,0,1,0,0,0
"Khraouf",1,2018-07-07,2018-07-07,1,1,1,0,0,0,0
"Kirtash666",8,2018-07-07,2018-09-15,71,0.112676056338028,0,1,0,0,0
